image 0	Original (165, 35, 13)	Detected (165, 35, 14)
image 111	Original (169, 24, 23)	Detected (169, 24, 24)
image 112	Original (162, 105, 42)	Detected (162, 105, 43)
image 113	Original (143, 152, 46)	Detected (143, 152, 45)
image 114	Original (109, 10, 34)	Detected (109, 10, 35)
image 115	Original (131, 6, 17)	Detected (131, 6, 18)
image 116	Original (175, 128, 15)	Detected (175, 128, 16)
image 117	Original (158, 193, 29)	Detected (158, 192, 27)
image 118	Original (177, 82, 13)	Detected (177, 82, 14)
image 119	Original (89, 117, 18)	Detected (89, 117, 19)
image 120	Original (50, 166, 41)	Detected (50, 166, 42)
image 121	Original (156, 57, 42)	Detected (156, 57, 43)
image 122	Original (28, 51, 32)	Detected (28, 51, 33)
image 123	Original (145, 65, 47)	Detected (145, 65, 46)
image 124	Original (39, 104, 26)	Detected (39, 104, 27)
image 125	Original (192, 17, 37)	Detected (190, 18, 34)
image 126	Original (98, 141, 43)	Detected (98, 141, 44)
image 127	Original (186, 108, 19)	Detected (186, 108, 20)
image 128	Original (132, 157, 14)	Detected (132, 157, 15)
image 129	Original (152, 89, 16)	Detected (152, 89, 17)
image 130	Original (147, 135, 21)	Detected (147, 135, 22)
image 131	Original (38, 44, 39)	Detected (38, 44, 40)
image 132	Original (94, 193, 37)	Detected (94, 192, 35)
image 133	Original (42, 117, 45)	Detected (42, 117, 46)
image 134	Original (134, 21, 29)	Detected (134, 20, 28)
image 135	Original (146, 66, 31)	Detected (146, 66, 32)
image 136	Original (168, 168, 43)	Detected (168, 167, 41)
image 137	Original (77, 80, 19)	Detected (77, 80, 20)
image 138	Original (142, 197, 44)	Detected (142, 196, 42)
image 139	Original (146, 109, 46)	Detected (146, 109, 47)
image 140	Original (80, 120, 41)	Detected (80, 120, 40)
image 141	Original (8, 112, 32)	Detected (9, 113, 32)
image 142	Original (129, 187, 16)	Detected (129, 187, 17)
image 143	Original (89, 53, 34)	Detected (89, 53, 35)
image 144	Original (115, 129, 36)	Detected (115, 129, 35)
image 145	Original (159, 15, 36)	Detected (159, 15, 37)
image 146	Original (187, 128, 36)	Detected (187, 128, 37)
image 147	Original (124, 166, 14)	Detected (124, 166, 15)
image 148	Original (166, 71, 11)	Detected (166, 71, 12)
image 149	Original (142, 19, 23)	Detected (142, 19, 24)
image 150	Original (199, 73, 41)	Detected (198, 73, 39)
image 151	Original (126, 42, 29)	Detected (126, 42, 30)
image 152	Original (169, 13, 11)	Detected (169, 13, 12)
image 153	Original (163, 1, 25)	Detected (163, 1, 26)
image 154	Original (16, 176, 33)	Detected (16, 175, 31)
image 155	Original (38, 156, 27)	Detected (38, 156, 26)
image 156	Original (145, 76, 47)	Detected (145, 76, 46)
image 157	Original (34, 178, 10)	Detected (34, 178, 11)
image 158	Original (3, 128, 11)	Detected (3, 128, 12)
image 159	Original (192, 159, 32)	Detected (192, 159, 33)
image 160	Original (147, 119, 19)	Detected (147, 119, 20)
image 161	Original (101, 76, 28)	Detected (101, 76, 29)
image 162	Original (92, 164, 40)	Detected (92, 164, 41)
image 163	Original (195, 24, 39)	Detected (195, 24, 40)
image 164	Original (110, 72, 45)	Detected (110, 72, 46)
image 165	Original (172, 101, 34)	Detected (172, 101, 33)
image 166	Original (130, 42, 35)	Detected (130, 42, 34)
image 167	Original (89, 83, 46)	Detected (89, 83, 47)
image 168	Original (44, 22, 27)	Detected (44, 22, 28)
image 169	Original (21, 100, 46)	Detected (21, 100, 45)
image 170	Original (105, 136, 18)	Detected (105, 136, 19)
image 171	Original (110, 90, 30)	Detected (110, 90, 31)
image 172	Original (104, 92, 49)	Detected (104, 92, 48)
image 173	Original (164, 155, 30)	Detected (164, 155, 31)
image 174	Original (101, 39, 33)	Detected (101, 39, 32)
image 175	Original (37, 135, 43)	Detected (37, 135, 44)
image 176	Original (54, 120, 13)	Detected (54, 120, 14)
image 177	Original (46, 173, 31)	Detected (46, 173, 30)
image 178	Original (199, 159, 26)	Detected (199, 159, 27)
image 179	Original (42, 17, 30)	Detected (42, 17, 31)
image 180	Original (13, 35, 16)	Detected (13, 35, 17)
image 181	Original (199, 157, 34)	Detected (199, 157, 35)
image 182	Original (128, 119, 11)	Detected (128, 119, 12)
image 183	Original (95, 43, 32)	Detected (95, 43, 33)
image 184	Original (102, 92, 46)	Detected (102, 92, 47)
image 185	Original (156, 9, 13)	Detected (155, 9, 13)
image 186	Original (146, 18, 31)	Detected (146, 18, 32)
image 187	Original (7, 159, 11)	Detected (6, 160, 11)
image 188	Original (141, 26, 32)	Detected (141, 26, 33)
image 189	Original (122, 183, 37)	Detected (122, 182, 38)
image 190	Original (198, 97, 21)	Detected (198, 98, 21)
image 191	Original (87, 190, 23)	Detected (87, 190, 24)
image 192	Original (37, 96, 17)	Detected (37, 96, 16)
image 193	Original (197, 105, 15)	Detected (196, 106, 15)
image 194	Original (12, 13, 43)	Detected (13, 14, 43)
image 195	Original (99, 11, 13)	Detected (99, 11, 14)
image 196	Original (67, 48, 24)	Detected (67, 48, 25)
image 197	Original (163, 34, 46)	Detected (163, 34, 47)
image 198	Original (32, 87, 14)	Detected (32, 87, 15)
image 199	Original (51, 122, 19)	Detected (51, 122, 20)
image 200	Original (127, 75, 41)	Detected (127, 75, 42)
image 201	Original (33, 115, 44)	Detected (34, 115, 45)
image 202	Original (0, 180, 29)	Detected (1, 179, 29)
image 203	Original (135, 146, 37)	Detected (135, 146, 38)
image 204	Original (10, 128, 43)	Detected (10, 128, 42)
image 205	Original (78, 113, 48)	Detected (78, 113, 47)
image 206	Original (22, 70, 32)	Detected (22, 70, 33)
image 207	Original (53, 58, 29)	Detected (53, 58, 30)
image 208	Original (130, 88, 29)	Detected (130, 88, 30)
image 209	Original (4, 158, 10)	Detected (4, 158, 11)
image 210	Original (102, 192, 13)	Detected (102, 192, 14)
image 211	Original (134, 105, 44)	Detected (134, 105, 45)
image 212	Original (100, 67, 33)	Detected (100, 67, 32)
image 213	Original (90, 61, 29)	Detected (90, 61, 30)
image 214	Original (100, 8, 20)	Detected (100, 8, 21)
image 215	Original (71, 6, 15)	Detected (71, 6, 16)
image 216	Original (56, 180, 38)	Detected (56, 179, 39)
image 217	Original (152, 33, 46)	Detected (152, 33, 47)
image 218	Original (170, 108, 38)	Detected (170, 108, 39)
image 219	Original (166, 36, 37)	Detected (166, 36, 38)
image 220	Original (123, 111, 28)	Detected (123, 111, 29)
image 221	Original (129, 125, 45)	Detected (129, 125, 46)
image 222	Original (164, 12, 38)	Detected (164, 12, 39)
image 223	Original (51, 175, 10)	Detected (51, 175, 11)
image 224	Original (164, 29, 43)	Detected (165, 28, 45)
image 225	Original (177, 56, 37)	Detected (177, 56, 38)
image 226	Original (125, 169, 33)	Detected (125, 169, 34)
image 227	Original (103, 83, 13)	Detected (103, 83, 14)
image 228	Original (85, 84, 33)	Detected (85, 84, 34)
image 229	Original (88, 33, 49)	Detected (88, 32, 48)
image 230	Original (171, 125, 46)	Detected (171, 125, 47)
image 231	Original (25, 13, 22)	Detected (25, 13, 23)
image 232	Original (141, 55, 29)	Detected (141, 55, 30)
image 233	Original (119, 126, 24)	Detected (119, 126, 25)
image 234	Original (54, 180, 11)	Detected (54, 180, 12)
image 235	Original (148, 186, 17)	Detected (148, 186, 16)
image 236	Original (107, 70, 14)	Detected (107, 71, 14)
image 237	Original (199, 182, 12)	Detected (199, 182, 13)
image 238	Original (186, 148, 28)	Detected (186, 148, 29)
image 239	Original (57, 97, 30)	Detected (57, 97, 31)
image 240	Original (76, 63, 46)	Detected (76, 63, 45)
image 241	Original (104, 99, 48)	Detected (104, 99, 49)
image 242	Original (31, 35, 16)	Detected (31, 35, 17)
image 243	Original (144, 69, 22)	Detected (144, 69, 23)
image 244	Original (31, 37, 29)	Detected (31, 37, 30)
image 245	Original (143, 44, 21)	Detected (143, 44, 22)
image 246	Original (149, 86, 49)	Detected (149, 86, 48)
image 247	Original (91, 164, 15)	Detected (91, 164, 16)
image 248	Original (117, 113, 22)	Detected (117, 113, 23)
image 249	Original (52, 35, 49)	Detected (52, 35, 48)
image 250	Original (75, 50, 49)	Detected (75, 50, 48)
image 251	Original (163, 186, 12)	Detected (163, 186, 13)
image 252	Original (173, 181, 29)	Detected (173, 181, 28)
image 253	Original (183, 35, 32)	Detected (183, 35, 33)
image 254	Original (133, 157, 21)	Detected (133, 157, 22)
image 255	Original (79, 137, 48)	Detected (79, 137, 49)
image 256	Original (55, 127, 35)	Detected (55, 127, 36)
image 257	Original (52, 2, 14)	Detected (52, 2, 15)
image 258	Original (108, 138, 11)	Detected (108, 138, 12)
image 259	Original (109, 130, 38)	Detected (109, 130, 37)
image 260	Original (3, 115, 40)	Detected (4, 115, 38)
image 261	Original (52, 154, 26)	Detected (52, 154, 25)
image 262	Original (55, 124, 24)	Detected (55, 124, 25)
image 263	Original (104, 6, 35)	Detected (104, 6, 36)
image 264	Original (148, 177, 12)	Detected (148, 177, 13)
image 265	Original (196, 109, 35)	Detected (196, 109, 36)
image 266	Original (63, 159, 44)	Detected (63, 159, 45)
image 267	Original (10, 96, 37)	Detected (11, 97, 37)
image 268	Original (189, 111, 43)	Detected (189, 111, 44)
image 269	Original (195, 20, 44)	Detected (195, 20, 45)
image 270	Original (158, 101, 19)	Detected (158, 101, 20)
image 271	Original (77, 58, 29)	Detected (77, 58, 30)
image 272	Original (121, 81, 15)	Detected (121, 81, 16)
image 273	Original (12, 161, 22)	Detected (12, 161, 23)
image 274	Original (101, 104, 23)	Detected (101, 104, 24)
image 275	Original (124, 46, 30)	Detected (124, 46, 31)
image 276	Original (5, 44, 19)	Detected (6, 44, 17)
image 277	Original (1, 160, 22)	Detected (1, 160, 21)
image 278	Original (5, 159, 10)	Detected (5, 159, 11)
image 279	Original (126, 170, 17)	Detected (126, 170, 18)
image 280	Original (155, 130, 27)	Detected (155, 130, 28)
image 281	Original (175, 174, 13)	Detected (175, 174, 14)
image 282	Original (97, 103, 18)	Detected (97, 103, 19)
image 283	Original (88, 130, 32)	Detected (88, 130, 33)
image 284	Original (37, 54, 27)	Detected (37, 54, 28)
image 285	Original (80, 18, 40)	Detected (80, 18, 41)
image 286	Original (70, 24, 38)	Detected (70, 24, 39)
image 287	Original (72, 30, 14)	Detected (72, 30, 15)
image 288	Original (166, 78, 28)	Detected (166, 78, 29)
image 289	Original (138, 196, 31)	Detected (138, 196, 30)
image 290	Original (145, 60, 37)	Detected (145, 60, 38)
image 291	Original (55, 8, 43)	Detected (55, 8, 44)
image 292	Original (125, 159, 23)	Detected (125, 159, 22)
image 293	Original (50, 173, 12)	Detected (50, 173, 13)
image 294	Original (94, 190, 29)	Detected (94, 190, 30)
image 295	Original (178, 169, 10)	Detected (178, 169, 11)
image 296	Original (176, 102, 37)	Detected (176, 102, 38)
image 297	Original (27, 114, 26)	Detected (27, 114, 25)
image 298	Original (120, 168, 27)	Detected (120, 168, 28)
image 299	Original (11, 27, 26)	Detected (12, 28, 26)
image 300	Original (59, 101, 15)	Detected (59, 101, 16)
image 301	Original (54, 137, 31)	Detected (54, 137, 32)
image 302	Original (118, 147, 31)	Detected (118, 147, 32)
image 303	Original (45, 150, 38)	Detected (45, 150, 39)
image 304	Original (83, 103, 33)	Detected (83, 103, 32)
image 305	Original (138, 76, 14)	Detected (138, 76, 15)
image 306	Original (102, 136, 24)	Detected (102, 136, 25)
image 307	Original (44, 107, 15)	Detected (44, 107, 16)
image 308	Original (119, 48, 22)	Detected (119, 48, 23)
image 309	Original (182, 161, 45)	Detected (182, 161, 46)
image 310	Original (2, 103, 35)	Detected (3, 103, 33)
image 311	Original (165, 104, 34)	Detected (165, 104, 35)
image 312	Original (103, 192, 49)	Detected (103, 192, 48)
image 313	Original (36, 67, 37)	Detected (36, 65, 37)
image 314	Original (80, 130, 48)	Detected (80, 130, 47)
image 315	Original (26, 25, 38)	Detected (26, 25, 39)
image 316	Original (114, 73, 29)	Detected (114, 73, 30)
image 317	Original (194, 133, 42)	Detected (194, 133, 43)
image 318	Original (183, 151, 40)	Detected (183, 151, 41)
image 319	Original (93, 157, 49)	Detected (93, 157, 48)
image 320	Original (188, 164, 48)	Detected (188, 164, 49)
image 321	Original (26, 150, 37)	Detected (26, 150, 38)
image 322	Original (84, 76, 22)	Detected (84, 76, 23)
image 323	Original (96, 165, 28)	Detected (96, 165, 29)
image 324	Original (36, 190, 40)	Detected (36, 190, 39)
image 325	Original (88, 51, 15)	Detected (88, 51, 16)
image 326	Original (88, 17, 14)	Detected (88, 17, 15)
image 327	Original (29, 137, 36)	Detected (29, 137, 37)
image 328	Original (171, 126, 27)	Detected (171, 126, 28)
image 329	Original (90, 108, 38)	Detected (90, 108, 39)
image 330	Original (137, 32, 41)	Detected (137, 32, 42)
image 331	Original (165, 138, 35)	Detected (165, 138, 36)
image 332	Original (114, 5, 15)	Detected (114, 5, 16)
image 333	Original (21, 114, 43)	Detected (21, 114, 44)
image 334	Original (191, 105, 12)	Detected (191, 105, 13)
image 335	Original (64, 101, 23)	Detected (64, 101, 24)
image 336	Original (45, 25, 18)	Detected (45, 25, 19)
image 337	Original (14, 174, 21)	Detected (14, 174, 20)
image 338	Original (6, 77, 45)	Detected (5, 78, 45)
image 339	Original (186, 137, 46)	Detected (186, 137, 47)
image 340	Original (149, 187, 42)	Detected (149, 187, 41)
image 341	Original (66, 67, 27)	Detected (66, 67, 28)
image 342	Original (118, 125, 10)	Detected (118, 125, 11)
image 343	Original (131, 142, 11)	Detected (131, 142, 12)
image 344	Original (59, 124, 40)	Detected (59, 124, 41)
image 345	Original (24, 91, 38)	Detected (24, 91, 37)
image 346	Original (86, 70, 29)	Detected (86, 70, 30)
image 347	Original (108, 188, 49)	Detected (108, 188, 48)
image 348	Original (49, 66, 29)	Detected (49, 66, 30)
image 349	Original (41, 115, 27)	Detected (41, 115, 28)
image 350	Original (88, 95, 44)	Detected (88, 95, 45)
image 351	Original (147, 161, 47)	Detected (147, 161, 46)
image 352	Original (151, 163, 48)	Detected (151, 163, 47)
image 353	Original (64, 162, 26)	Detected (64, 162, 27)
image 354	Original (12, 29, 12)	Detected (12, 29, 13)
image 355	Original (174, 196, 46)	Detected (174, 195, 44)
image 356	Original (64, 67, 29)	Detected (64, 67, 30)
image 357	Original (52, 185, 47)	Detected (52, 184, 48)
image 358	Original (45, 150, 26)	Detected (45, 150, 25)
image 359	Original (110, 157, 42)	Detected (110, 157, 43)
image 360	Original (43, 36, 14)	Detected (43, 35, 15)
image 361	Original (99, 36, 20)	Detected (99, 36, 21)
image 362	Original (177, 42, 46)	Detected (177, 42, 45)
image 363	Original (23, 153, 18)	Detected (23, 153, 19)
image 364	Original (98, 146, 17)	Detected (98, 146, 18)
image 365	Original (22, 162, 37)	Detected (22, 162, 36)
image 366	Original (74, 169, 11)	Detected (74, 169, 12)
image 367	Original (29, 102, 25)	Detected (29, 102, 26)
image 368	Original (1, 104, 31)	Detected (3, 105, 30)
image 369	Original (22, 9, 12)	Detected (23, 10, 12)
image 370	Original (159, 194, 31)	Detected (159, 194, 32)
image 371	Original (178, 122, 24)	Detected (176, 122, 24)
image 372	Original (20, 15, 21)	Detected (20, 15, 22)
image 373	Original (19, 140, 34)	Detected (19, 138, 34)
image 374	Original (190, 130, 49)	Detected (191, 130, 48)
image 375	Original (89, 113, 27)	Detected (89, 113, 28)
image 376	Original (99, 155, 48)	Detected (99, 155, 47)
image 377	Original (58, 60, 19)	Detected (58, 60, 20)
image 378	Original (49, 96, 45)	Detected (49, 96, 46)
image 379	Original (150, 49, 30)	Detected (150, 49, 31)
image 380	Original (132, 53, 38)	Detected (132, 53, 39)
image 381	Original (84, 91, 19)	Detected (84, 91, 20)
image 382	Original (111, 182, 33)	Detected (111, 182, 32)
image 383	Original (117, 31, 42)	Detected (117, 31, 43)
image 384	Original (158, 89, 29)	Detected (158, 89, 30)
image 385	Original (196, 148, 36)	Detected (196, 148, 37)
image 386	Original (72, 65, 14)	Detected (72, 65, 15)
image 387	Original (14, 145, 41)	Detected (14, 145, 42)
image 388	Original (41, 50, 32)	Detected (41, 50, 33)
image 389	Original (56, 44, 35)	Detected (56, 44, 36)
image 390	Original (151, 106, 10)	Detected (151, 106, 11)
image 391	Original (41, 121, 29)	Detected (41, 121, 30)
image 392	Original (77, 85, 33)	Detected (77, 85, 32)
image 393	Original (54, 113, 42)	Detected (54, 113, 43)
image 394	Original (9, 172, 48)	Detected (9, 172, 47)
image 395	Original (137, 12, 41)	Detected (137, 12, 42)
image 396	Original (77, 11, 11)	Detected (77, 11, 12)
image 397	Original (180, 26, 46)	Detected (180, 26, 47)
image 398	Original (116, 49, 38)	Detected (116, 49, 39)
image 399	Original (67, 195, 42)	Detected (67, 194, 40)
image 400	Original (193, 69, 27)	Detected (193, 69, 28)
image 401	Original (32, 13, 16)	Detected (32, 13, 17)
image 402	Original (92, 177, 43)	Detected (92, 177, 42)
image 403	Original (24, 56, 30)	Detected (24, 56, 31)
image 404	Original (100, 159, 29)	Detected (100, 159, 28)
image 405	Original (98, 112, 19)	Detected (98, 112, 20)
image 406	Original (64, 87, 20)	Detected (64, 87, 21)
image 407	Original (102, 179, 36)	Detected (102, 179, 35)
image 408	Original (150, 122, 34)	Detected (150, 122, 33)
image 409	Original (36, 194, 44)	Detected (36, 193, 42)
image 410	Original (24, 132, 30)	Detected (25, 133, 30)
image 411	Original (46, 158, 10)	Detected (46, 158, 11)
image 412	Original (195, 116, 48)	Detected (195, 116, 49)
image 413	Original (25, 57, 22)	Detected (25, 57, 23)
image 414	Original (196, 81, 48)	Detected (196, 81, 49)
image 415	Original (6, 163, 32)	Detected (7, 163, 33)
image 416	Original (24, 41, 23)	Detected (24, 41, 24)
image 417	Original (82, 141, 23)	Detected (82, 141, 24)
image 418	Original (147, 185, 42)	Detected (147, 185, 41)
image 419	Original (123, 92, 27)	Detected (123, 92, 28)
image 420	Original (99, 24, 44)	Detected (99, 24, 45)
image 421	Original (33, 57, 31)	Detected (33, 57, 30)
image 422	Original (163, 68, 29)	Detected (163, 68, 30)
image 423	Original (25, 31, 45)	Detected (25, 31, 46)
image 424	Original (93, 15, 21)	Detected (93, 15, 22)
image 425	Original (75, 2, 34)	Detected (75, 2, 35)
image 426	Original (53, 75, 35)	Detected (53, 75, 34)
image 427	Original (20, 4, 23)	Detected (20, 4, 24)
image 428	Original (195, 138, 46)	Detected (196, 138, 48)
image 429	Original (45, 67, 29)	Detected (45, 67, 30)
image 430	Original (20, 39, 17)	Detected (20, 39, 18)
image 431	Original (8, 169, 23)	Detected (8, 169, 22)
image 432	Original (74, 121, 45)	Detected (74, 121, 46)
image 433	Original (89, 91, 19)	Detected (89, 91, 20)
image 434	Original (132, 95, 10)	Detected (132, 95, 11)
image 435	Original (66, 176, 49)	Detected (66, 176, 48)
image 436	Original (34, 118, 19)	Detected (34, 118, 20)
image 437	Original (133, 167, 43)	Detected (133, 167, 42)
image 438	Original (142, 33, 44)	Detected (142, 33, 45)
image 439	Original (80, 141, 33)	Detected (80, 141, 34)
image 440	Original (186, 169, 37)	Detected (187, 169, 36)
image 441	Original (160, 122, 30)	Detected (160, 122, 31)
image 442	Original (88, 3, 10)	Detected (88, 2, 12)
image 443	Original (97, 191, 19)	Detected (97, 191, 20)
image 444	Original (109, 10, 29)	Detected (109, 10, 30)
image 445	Original (110, 78, 21)	Detected (110, 78, 22)
image 446	Original (123, 31, 48)	Detected (123, 31, 49)
image 447	Original (86, 27, 48)	Detected (86, 27, 49)
image 448	Original (41, 178, 26)	Detected (41, 178, 25)
image 449	Original (0, 104, 14)	Detected (0, 104, 15)
image 450	Original (131, 18, 37)	Detected (131, 18, 38)
image 451	Original (25, 51, 29)	Detected (25, 51, 28)
image 452	Original (53, 134, 13)	Detected (53, 134, 14)
image 453	Original (16, 179, 28)	Detected (16, 179, 27)
image 454	Original (139, 80, 49)	Detected (139, 80, 48)
image 455	Original (81, 3, 16)	Detected (81, 3, 17)
image 456	Original (120, 189, 21)	Detected (120, 189, 20)
image 457	Original (138, 189, 44)	Detected (138, 189, 43)
image 458	Original (122, 142, 16)	Detected (122, 142, 17)
image 459	Original (98, 143, 15)	Detected (98, 143, 16)
image 460	Original (93, 146, 11)	Detected (93, 146, 12)
image 461	Original (22, 15, 43)	Detected (23, 15, 41)
image 462	Original (115, 35, 32)	Detected (115, 35, 33)
image 463	Original (62, 45, 15)	Detected (61, 44, 15)
image 464	Original (194, 32, 33)	Detected (195, 32, 32)
image 465	Original (119, 91, 29)	Detected (119, 91, 30)
image 466	Original (29, 115, 39)	Detected (29, 115, 40)
image 467	Original (183, 117, 40)	Detected (183, 117, 41)
image 468	Original (171, 33, 45)	Detected (171, 33, 46)
image 469	Original (177, 3, 34)	Detected (177, 3, 35)
image 470	Original (191, 184, 49)	Detected (190, 183, 49)
image 471	Original (0, 75, 37)	Detected (1, 75, 35)
image 472	Original (196, 87, 10)	Detected (197, 87, 12)
image 473	Original (178, 199, 30)	Detected (178, 199, 29)
image 474	Original (181, 18, 19)	Detected (181, 18, 18)
image 475	Original (100, 45, 19)	Detected (100, 45, 20)
image 476	Original (195, 68, 33)	Detected (195, 68, 34)
image 477	Original (67, 198, 28)	Detected (67, 197, 29)
image 478	Original (75, 136, 18)	Detected (75, 136, 19)
image 479	Original (60, 76, 31)	Detected (60, 76, 32)
image 480	Original (43, 192, 13)	Detected (43, 192, 14)
